case,ebno_db,rep,eval_seed,transport_blocks,trained_block_errors,ls_block_errors,trained_only_errors,ls_only_errors,both_errors,both_correct,trained_minus_ls_batch_tbler
confirmation_umi_12prb_cell212_permuted_ports,10.0,10,2037101511,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell212_permuted_ports,10.0,11,2037101512,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell212_permuted_ports,10.0,12,2037101513,256,1,2,0,1,1,254,-0.00390625
confirmation_umi_12prb_cell212_permuted_ports,10.0,13,2037101514,256,2,2,0,0,2,254,0.0
confirmation_umi_12prb_cell212_permuted_ports,10.0,14,2037101515,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell212_permuted_ports,10.0,15,2037101516,256,2,1,1,0,1,254,0.00390625
confirmation_umi_12prb_cell212_permuted_ports,10.0,16,2037101517,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell212_permuted_ports,10.0,17,2037101518,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell212_permuted_ports,10.0,18,2037101519,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell212_permuted_ports,10.0,19,2037101520,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell212_permuted_ports,10.0,20,2037101521,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell212_permuted_ports,10.0,21,2037101522,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell212_permuted_ports,10.0,22,2037101523,256,0,0,0,0,0,256,0.0
